No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
306,KIND,2.30%,20.00%,-46.16%,-37.03%,-,-20.91%,10.13%,9.37%,2.00,1.95M,5.68,6.17,-1.08%,"3,418,509"
307,KN,-0.42%,2.47%,-1.24%,7.36%,2.13%,-7.54%,2.14%,1.91%,2.10,1.08M,0.42,21.79,0.93%,"140,507"
308,KNDI,4.78%,15.85%,-13.87%,-34.20%,-54.05%,2.49%,6.50%,5.13%,2.00,1.24M,0.34,3.20,-2.58%,"129,218"
309,KOD,-82.44%,-83.82%,-90.62%,-90.80%,-92.94%,-89.57%,9.70%,8.17%,2.50,1.20M,2.97,8.70,-1.53%,"1,095,134"
310,KODK,3.77%,28.57%,-23.65%,-35.27%,-48.96%,0.00%,5.70%,5.61%,-,1.42M,0.56,4.77,1.92%,"244,919"
311,KOPN,-2.69%,-8.33%,-50.78%,-57.97%,-74.47%,-38.14%,8.89%,7.26%,2.00,1.26M,0.65,2.55,0.79%,"254,219"
312,KPLT,5.45%,-4.91%,-46.21%,-58.15%,-84.80%,-36.80%,10.52%,9.56%,2.50,1.90M,0.52,2.15,0.93%,"304,478"
313,KPRX,-1.40%,-11.94%,-56.12%,-62.49%,-88.62%,-58.01%,17.56%,11.12%,2.00,3.03M,0.11,0.60,-4.97%,"98,219"
314,KPTI,0.97%,21.66%,51.68%,89.95%,-21.23%,61.59%,7.23%,9.71%,2.40,3.31M,3.16,7.20,-30.75%,"3,215,305"
315,KTTA,-0.96%,-8.04%,-75.76%,-,-,-41.81%,8.93%,8.91%,2.00,3.27M,0.11,1.06,2.90%,"114,422"
316,KXIN,5.00%,2.94%,-41.34%,-65.12%,-72.58%,-7.89%,10.41%,8.47%,-,2.46M,0.10,1.06,0.95%,"73,094"
317,LC,0.34%,4.80%,-50.17%,-37.86%,49.79%,-26.84%,8.69%,7.08%,2.20,3.05M,0.38,17.78,0.51%,"353,689"
318,LCTX,-2.84%,-9.27%,-31.50%,-44.08%,-40.69%,-44.08%,7.25%,5.47%,2.20,1.22M,0.14,1.35,-1.46%,"53,726"
319,LDI,2.18%,-4.52%,-16.10%,-49.16%,-81.51%,-12.08%,8.12%,7.77%,2.30,1.15M,0.42,4.21,-0.24%,"147,732"
320,LGVN,6.11%,0.99%,-72.88%,109.41%,-13.06%,-41.01%,9.53%,9.91%,-,2.18M,0.11,6.89,-3.23%,"70,605"
321,LICY,14.82%,8.95%,-39.75%,-12.44%,-33.19%,-22.99%,9.17%,7.10%,1.90,1.75M,0.85,7.46,-2.72%,"459,038"
322,LIXT,-8.90%,-24.00%,-16.87%,-40.36%,-67.48%,11.76%,21.28%,12.19%,-,2.28M,0.01,1.40,5.21%,"6,574"
323,LKCO,-20.34%,25.60%,-39.74%,-62.92%,-55.32%,-9.93%,13.25%,14.36%,-,2.68M,0.48,0.56,2.77%,"393,904"
324,LLNW,1.05%,-7.02%,30.17%,45.45%,16.36%,11.95%,4.47%,4.67%,2.40,1.93M,0.47,3.85,0.26%,"279,213"
325,LMND,-1.02%,-15.61%,-52.71%,-67.84%,-78.03%,-42.37%,12.99%,9.72%,3.20,2.26M,1.03,22.70,-6.47%,"716,115"
326,LOTZ,3.23%,5.49%,-36.84%,-52.83%,-80.63%,-15.42%,11.17%,9.22%,2.30,1.27M,0.57,1.97,2.60%,"223,347"
327,LPTX,-3.94%,14.04%,-25.00%,13.70%,-16.67%,-39.81%,9.63%,9.55%,1.80,1.81M,0.38,1.90,-2.56%,"211,900"
328,LTCH,-21.02%,-31.52%,-50.49%,-64.74%,-68.35%,-46.90%,13.41%,8.28%,2.60,1.50M,1.27,3.75,-6.72%,"587,501"
329,LWLG,17.72%,10.70%,-51.67%,-36.44%,474.60%,-51.34%,12.60%,10.56%,-,1.43M,0.45,7.44,2.76%,"199,023"
330,LX,1.43%,12.38%,-17.87%,-46.93%,-69.87%,-8.29%,6.48%,6.61%,1.90,1.79M,1.53,3.43,-3.11%,"843,511"
331,MARK,-4.23%,2.45%,-37.34%,-39.29%,-73.36%,-21.01%,13.44%,10.50%,-,3.79M,0.28,0.78,-0.79%,"327,354"
332,MBIO,3.20%,-21.52%,-57.23%,-71.00%,-76.17%,-48.47%,11.38%,9.48%,1.60,1.07M,0.73,0.83,-2.62%,"240,834"
333,MBOT,7.49%,1.82%,4.87%,-24.83%,-35.26%,-25.33%,8.38%,7.26%,2.00,1.86M,0.03,5.43,-3.04%,"16,969"
334,MCRB,-9.82%,-5.92%,-16.16%,20.24%,-62.31%,-11.22%,8.39%,6.76%,2.00,1.36M,0.69,7.32,-1.01%,"290,050"
335,MDRR,7.92%,6.97%,2.83%,-15.50%,-49.77%,-9.17%,5.23%,3.50%,2.00,1.48M,0.11,1.11,1.83%,"52,309"
336,ME,1.86%,4.04%,-50.51%,-49.54%,-61.24%,-34.23%,8.70%,8.19%,2.50,3.00M,0.50,4.22,-3.54%,"463,087"
337,MEIP,1.97%,8.38%,-15.51%,-26.86%,-44.05%,-22.47%,6.52%,7.03%,1.80,1.33M,0.48,2.05,-0.97%,"197,435"
338,METX,6.96%,16.65%,-43.86%,-69.73%,-91.60%,-20.81%,12.54%,13.04%,2.00,17.75M,2.22,0.22,8.62%,"12,140,982"
339,MFA,-7.73%,-13.02%,-10.45%,-17.23%,-3.67%,-13.60%,4.64%,2.93%,2.20,4.09M,0.70,4.03,2.28%,"877,791"
340,MGI,0.09%,21.76%,80.00%,17.78%,55.17%,36.88%,1.21%,3.90%,2.70,4.83M,1.12,10.74,-0.55%,"1,667,376"
341,MGNI,17.34%,10.18%,-25.29%,-51.64%,-72.92%,-21.49%,12.11%,9.01%,2.00,2.45M,0.78,13.46,-2.04%,"591,941"
342,MIC,1.66%,1.94%,1.66%,13.65%,43.62%,0.55%,1.30%,1.22%,3.00,1.44M,1.77,3.70,0.95%,"784,638"
343,MILE,0.00%,-15.89%,-51.89%,-67.77%,-91.15%,-42.01%,14.45%,10.26%,3.00,2.52M,0.43,1.18,-6.69%,"336,795"
344,MIR,-1.38%,8.62%,-23.48%,-13.70%,-25.87%,-18.15%,10.40%,6.41%,-,1.34M,0.26,8.80,2.68%,"108,611"
345,MITQ,-6.38%,11.86%,-37.74%,-61.06%,-,-37.14%,9.77%,12.28%,-,1.21M,0.07,1.31,-0.77%,"24,981"
346,MKD,3.34%,-7.68%,-38.20%,-62.71%,-88.53%,-30.55%,21.40%,11.39%,-,5.30M,6.22,0.17,14.40%,"10,169,444"
