No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,ABEO,17.76%,19.82%,-56.51%,-78.09%,-88.11%,-16.77%,13.63%,10.52%,2.30,3.67M,1.21,0.27,-2.99%,"1,362,856"
2,ABSI,10.61%,48.24%,-15.79%,-49.04%,-,13.17%,11.83%,8.47%,2.70,1.38M,0.23,9.33,0.54%,"98,422"
3,ABUS,-3.73%,22.53%,-1.27%,-8.28%,-19.06%,-20.31%,10.73%,8.29%,2.00,5.51M,0.50,3.10,-0.16%,"841,791"
4,ACB,-5.91%,-6.39%,-43.17%,-48.74%,-66.82%,-32.35%,7.76%,7.93%,3.50,5.63M,0.89,3.61,-1.37%,"1,542,018"
5,ACCD,-1.23%,-3.76%,-36.46%,-64.23%,-63.72%,-35.93%,9.28%,7.74%,1.40,1.02M,0.40,16.21,-4.03%,"125,905"
6,ACET,-2.13%,6.16%,30.36%,55.12%,-21.21%,-29.05%,9.12%,8.25%,1.40,1.27M,0.06,12.44,0.24%,"22,993"
7,ACHR,7.14%,11.31%,-48.11%,-68.50%,-74.51%,-47.85%,8.49%,7.90%,2.30,2.21M,0.39,3.10,-1.59%,"267,584"
8,ACRX,16.56%,1.00%,-30.14%,-61.57%,-77.26%,-22.47%,15.49%,11.06%,2.00,1.10M,0.44,0.44,1.89%,"147,727"
9,ACST,2.73%,0.89%,-15.67%,-64.78%,-79.84%,-10.32%,6.99%,6.49%,1.00,1.58M,0.09,1.13,0.00%,"42,631"
10,ADGI,1.40%,-3.83%,-86.08%,-79.84%,-,-10.19%,9.92%,14.28%,3.20,8.61M,0.22,6.20,-4.91%,"579,916"
11,ADMA,6.49%,18.84%,13.10%,23.31%,-30.80%,16.31%,5.47%,5.74%,1.70,1.98M,0.95,1.66,1.22%,"576,873"
12,ADMP,13.53%,14.67%,-13.73%,-35.90%,-39.37%,11.24%,9.25%,6.92%,3.00,1.91M,0.92,0.67,-0.45%,"543,747"
13,ADTX,2.46%,-6.82%,-67.22%,-79.32%,-87.99%,-27.85%,12.75%,10.21%,2.00,1.66M,0.52,0.40,2.69%,"266,371"
14,ADVM,-1.87%,-15.16%,-29.68%,-44.98%,-89.18%,-25.28%,6.38%,4.97%,2.80,1.16M,0.37,1.30,-1.04%,"133,688"
15,ADXS,-4.27%,-27.55%,-73.39%,-76.20%,-87.17%,-31.56%,21.37%,12.83%,2.00,2.26M,0.15,0.10,-4.04%,"104,364"
16,AEHR,9.40%,15.55%,-28.18%,90.30%,350.34%,-45.62%,9.68%,9.23%,-,1.21M,0.59,13.38,1.75%,"219,954"
17,AEI,12.14%,-2.04%,-77.67%,-83.86%,-97.61%,-41.58%,14.66%,10.55%,2.50,2.91M,0.92,0.33,-0.21%,"826,773"
18,AERC,-0.23%,-1.83%,-96.35%,-,-,-59.12%,10.20%,10.93%,-,1.82M,0.03,4.40,2.80%,"15,433"
19,AERI,45.70%,22.54%,-11.39%,-41.60%,-57.17%,20.80%,10.31%,7.17%,2.00,1.24M,0.56,8.51,0.35%,"212,614"
20,AEVA,-4.75%,-11.74%,-57.77%,-56.60%,-72.75%,-44.31%,9.37%,6.97%,1.80,1.68M,0.79,4.05,-3.92%,"412,575"
21,AFMD,3.78%,14.03%,-36.56%,-37.91%,-22.57%,-20.47%,6.19%,5.71%,1.60,1.22M,0.47,4.43,1.03%,"178,112"
22,AGEN,-2.26%,-1.52%,-17.78%,-60.94%,-29.23%,-19.57%,6.86%,6.52%,1.70,4.19M,1.11,2.87,10.62%,"1,434,635"
23,AGRX,6.04%,-7.41%,-46.99%,-74.39%,-88.29%,-38.09%,12.33%,10.99%,1.70,1.25M,0.22,0.30,-1.52%,"84,067"
24,AHCO,1.21%,-10.91%,-20.95%,-32.97%,-50.44%,-34.91%,9.14%,6.32%,1.40,1.01M,1.04,15.82,-0.63%,"325,387"
25,AHT,-13.20%,11.48%,-28.80%,-45.07%,-76.59%,-17.08%,11.75%,9.08%,2.70,1.45M,0.95,8.36,5.03%,"426,116"
26,AIKI,4.01%,-10.59%,-42.31%,-45.84%,-64.62%,-27.07%,11.63%,7.18%,2.00,1.34M,0.35,0.43,0.44%,"143,533"
27,AIV,0.58%,2.20%,-8.40%,-1.97%,45.42%,-9.59%,4.80%,3.60%,1.00,1.63M,1.12,7.29,4.44%,"560,374"
28,AKBA,9.14%,12.57%,-17.94%,-23.76%,-39.09%,-4.87%,7.26%,6.52%,2.10,3.49M,1.44,2.32,7.91%,"1,550,671"
29,ALDX,2.90%,13.70%,-45.53%,-57.28%,-68.62%,-2.50%,8.20%,7.49%,1.50,1.28M,0.24,3.99,2.31%,"94,740"
30,ALHC,7.79%,29.25%,-49.22%,-53.63%,-,-39.97%,8.70%,8.30%,2.10,1.06M,0.33,8.36,-0.95%,"105,797"
31,ALLK,-4.73%,-14.87%,-93.11%,-93.75%,-95.31%,-44.43%,7.49%,6.62%,3.00,5.01M,0.36,5.70,4.78%,"548,603"
32,ALLO,-11.63%,-19.11%,-51.71%,-64.43%,-75.18%,-42.43%,9.18%,6.88%,1.90,1.62M,1.61,8.60,0.12%,"804,501"
33,ALNA,14.64%,25.50%,-35.43%,-56.24%,-73.59%,-24.66%,10.54%,8.36%,1.50,1.78M,0.31,0.45,1.03%,"169,039"
34,ALPP,-8.93%,4.08%,-39.53%,-40.70%,-73.76%,-20.31%,8.28%,10.62%,-,1.34M,0.44,1.56,1.84%,"181,169"
35,ALTO,13.10%,17.87%,10.55%,20.04%,-17.21%,22.04%,6.94%,5.75%,1.70,1.66M,1.32,5.98,1.87%,"676,768"
36,ALZN,5.08%,-13.89%,-44.14%,-59.74%,-,-34.74%,8.11%,7.53%,2.00,3.28M,0.14,1.20,-3.30%,"138,571"
37,AMPE,3.41%,-9.00%,-58.26%,-71.91%,-72.42%,-20.18%,10.81%,8.12%,2.00,1.76M,1.07,0.47,2.55%,"578,296"
38,AMRN,-0.31%,-5.06%,-10.39%,-42.42%,-47.10%,-5.34%,6.41%,5.15%,2.30,3.91M,0.57,3.28,2.66%,"683,686"
39,AMRS,14.11%,17.20%,-28.59%,-68.54%,-76.09%,-11.83%,11.74%,9.76%,-,6.61M,1.63,5.28,10.59%,"3,310,134"
40,AMWL,-3.22%,-13.30%,-42.33%,-62.97%,-84.10%,-35.26%,9.18%,7.23%,2.80,3.29M,1.17,3.82,-2.43%,"1,190,731"
41,ANY,-3.75%,17.56%,-54.26%,-63.91%,-9.41%,-25.96%,11.16%,12.83%,2.00,6.04M,0.63,2.23,-3.46%,"1,170,555"
42,API,17.17%,25.56%,-43.09%,-61.48%,-80.66%,-27.58%,12.07%,8.99%,2.00,1.24M,0.88,11.24,-4.22%,"338,439"
43,APM,-13.13%,-24.04%,-24.46%,-46.12%,-55.16%,-7.33%,11.67%,10.65%,2.00,2.70M,0.12,1.54,10.78%,"100,864"
44,APPH,18.94%,5.29%,-29.25%,-58.32%,-88.22%,-7.97%,13.22%,8.92%,1.70,1.53M,0.93,3.70,3.34%,"436,157"
45,APRN,-3.33%,-25.11%,-48.27%,27.94%,-40.68%,-22.44%,8.39%,10.61%,1.00,1.41M,0.40,5.61,7.47%,"173,560"
46,APTS,-1.37%,53.65%,86.37%,103.13%,206.92%,40.03%,1.25%,3.89%,-,1.28M,2.77,25.50,0.83%,"1,095,032"
47,AQB,10.49%,-1.25%,-39.69%,-65.20%,-78.62%,-24.76%,9.15%,6.68%,1.70,1.11M,0.80,1.57,-0.95%,"272,411"
48,ARCO,10.60%,25.28%,57.65%,41.61%,52.00%,36.02%,5.15%,3.85%,2.40,1.15M,1.19,7.74,-2.33%,"422,968"
49,ARDS,-19.74%,-6.63%,-21.46%,-50.94%,-71.45%,-21.46%,11.64%,15.05%,2.00,2.48M,0.10,1.88,2.73%,"78,477"
50,ARDX,6.81%,-8.29%,-15.56%,-49.44%,-89.25%,-33.82%,12.73%,8.21%,2.00,12.82M,2.16,0.86,18.48%,"8,543,123"
51,AREB,0.64%,-71.79%,-71.79%,-65.89%,-74.35%,-72.12%,14.88%,25.44%,-,1.79M,1.68,1.50,-5.06%,"930,133"
52,ARI,0.93%,-2.18%,-6.54%,-15.80%,-4.83%,-1.22%,3.32%,2.83%,3.00,1.31M,0.50,13.21,1.62%,"201,326"
53,ARLO,2.12%,4.83%,9.60%,41.83%,15.12%,-17.25%,7.32%,5.13%,2.40,1.07M,11.60,11.37,30.95%,"3,813,395"
54,ARR,-1.69%,-11.53%,-18.70%,-24.72%,-33.90%,-17.13%,4.34%,3.09%,3.20,2.40M,0.94,8.15,0.25%,"694,076"
55,ARRY,36.60%,21.70%,-48.71%,-38.05%,-69.24%,-25.30%,10.00%,7.75%,2.30,3.53M,3.87,9.29,-20.73%,"4,211,074"
56,ASRT,-7.56%,-3.93%,50.68%,103.70%,-48.60%,0.92%,7.84%,8.25%,2.00,1.03M,0.43,2.31,4.91%,"138,223"
57,ASTR,8.95%,-21.61%,-69.28%,-64.07%,-75.92%,-50.79%,10.33%,14.72%,3.00,6.33M,0.41,3.38,-0.88%,"791,797"
58,ASXC,-0.16%,-18.36%,-50.15%,-66.61%,-82.20%,-37.13%,11.74%,9.39%,2.00,3.27M,1.25,0.68,-2.97%,"1,257,096"
59,ATAI,5.84%,17.41%,-47.22%,-63.59%,-,-23.98%,7.80%,8.01%,1.80,1.15M,0.69,5.60,-3.45%,"245,631"
60,ATER,-5.52%,4.68%,-43.93%,-56.04%,-93.38%,-29.20%,10.43%,10.10%,-,2.99M,1.14,2.73,-6.25%,"1,045,845"
61,ATHE,6.54%,1.89%,-16.18%,-36.19%,-47.87%,18.75%,8.37%,8.31%,-,2.43M,0.05,0.82,-3.87%,"35,432"
62,ATHX,-3.31%,4.56%,-12.04%,-44.96%,-55.36%,-0.60%,7.89%,8.20%,2.20,1.46M,0.66,0.86,-3.72%,"295,281"
63,ATIP,-22.86%,-37.42%,-47.50%,-54.46%,-81.32%,-44.25%,16.25%,8.65%,3.00,1.55M,1.67,1.79,-5.03%,"798,683"
64,ATOS,7.44%,4.84%,-39.53%,-63.17%,-52.03%,-18.75%,9.74%,8.51%,2.00,2.59M,0.62,1.31,0.77%,"495,113"
65,ATXI,158.13%,-12.09%,-45.35%,-63.89%,-88.29%,-33.19%,44.87%,23.57%,3.00,3.94M,14.14,0.61,1.35%,"17,152,270"
66,AUPH,-23.99%,-23.36%,-34.51%,-29.44%,-16.71%,-47.49%,9.36%,7.33%,1.60,3.70M,5.74,10.49,-12.66%,"6,544,575"
67,AVCT,-4.70%,-21.92%,-46.05%,-78.96%,-85.69%,-63.37%,18.37%,12.51%,-,21.61M,0.08,0.89,-0.38%,"521,627"
68,AVGR,42.93%,17.96%,-45.97%,-62.83%,-80.49%,-25.87%,12.29%,9.49%,2.00,1.79M,1.96,0.31,-8.45%,"1,083,733"
69,AVIR,9.31%,-5.00%,-17.60%,-78.82%,-91.01%,-27.74%,9.49%,6.63%,2.40,1.30M,0.72,6.58,1.86%,"289,834"
70,AVXL,-1.96%,-13.48%,-48.48%,-43.20%,-24.35%,-39.27%,8.84%,8.26%,1.70,1.22M,0.66,10.85,3.04%,"247,165"
71,AVYA,-1.12%,-23.45%,-35.05%,-35.40%,-56.01%,-33.08%,6.66%,6.87%,2.40,1.44M,0.26,13.42,1.28%,"115,438"
72,AWH,1.94%,-2.78%,-48.78%,-70.91%,-85.96%,-40.68%,9.84%,8.63%,1.50,1.02M,0.22,1.02,-2.86%,"70,405"
73,AXL,7.21%,8.03%,-7.83%,-4.07%,-19.16%,-9.11%,6.81%,5.32%,2.70,1.58M,0.99,8.62,1.65%,"480,678"
74,AZUL,-15.14%,-7.13%,10.79%,-35.87%,-32.00%,6.59%,5.81%,4.87%,2.70,2.17M,0.98,14.24,1.21%,"656,247"
75,BARK,7.32%,-8.33%,-43.59%,-61.69%,-75.75%,-27.01%,10.93%,9.59%,1.00,3.12M,0.58,3.02,-1.95%,"561,594"
76,BBBY,21.77%,7.34%,-17.43%,-41.39%,-39.88%,14.33%,11.68%,8.51%,3.30,6.58M,0.61,17.38,4.26%,"1,234,781"
77,BBI,-3.72%,5.12%,-29.51%,-68.31%,-82.73%,-4.94%,10.39%,11.14%,1.50,7.53M,2.36,0.22,1.29%,"5,468,992"
78,BBIG,-18.24%,-17.12%,-20.13%,-65.72%,-11.68%,1.68%,11.99%,11.34%,-,36.03M,0.54,2.40,-0.62%,"5,943,908"
79,BBIO,7.04%,-7.52%,-78.02%,-82.79%,-87.37%,-49.88%,9.22%,7.24%,1.60,4.39M,0.27,8.24,-1.44%,"365,988"
80,BBLG,-13.40%,-12.23%,-55.96%,-96.32%,-,-48.58%,6.53%,9.29%,-,1.35M,0.01,1.83,1.10%,"5,013"
81,BCDA,-0.45%,52.08%,2.34%,-25.76%,-44.27%,12.89%,9.30%,15.23%,2.20,1.49M,0.06,2.13,-2.74%,"27,829"
82,BDSI,-0.18%,51.37%,96.45%,46.56%,31.28%,78.71%,0.69%,2.06%,2.10,3.13M,0.44,5.56,0.36%,"420,263"
83,BEST,-11.91%,6.58%,-32.43%,-39.48%,-68.93%,-18.26%,15.91%,12.53%,3.70,1.67M,0.74,0.67,-3.74%,"378,542"
84,BFLY,-5.23%,-5.96%,-31.22%,-59.32%,-72.95%,-26.91%,12.11%,8.11%,2.50,3.20M,1.23,4.75,-2.86%,"1,211,254"
85,BFRI,1.43%,-6.91%,-60.14%,-,-,-62.37%,14.42%,12.28%,2.00,11.62M,0.02,2.90,2.47%,"63,322"
86,BGCP,0.43%,11.84%,0.65%,-9.75%,5.95%,-0.43%,3.49%,3.57%,2.50,2.18M,0.56,4.74,2.38%,"376,510"
87,BGRY,9.80%,4.02%,-42.95%,-61.07%,-69.20%,-38.91%,8.18%,7.01%,2.00,1.05M,0.64,3.36,-0.15%,"207,293"
88,BIG,-2.20%,-14.12%,-22.09%,-33.19%,-44.19%,-24.00%,6.75%,5.34%,3.10,1.08M,1.74,36.75,7.33%,"577,698"
89,BIGC,-10.89%,-28.01%,-52.88%,-64.19%,-64.76%,-38.22%,11.16%,8.42%,2.20,1.65M,1.07,22.08,1.05%,"542,701"
90,BIOL,-5.65%,3.30%,-20.57%,-54.85%,-63.62%,-10.00%,9.78%,7.97%,1.70,2.52M,0.50,0.35,-0.43%,"386,689"
91,BIRD,-11.20%,-35.40%,-59.56%,-,-,-49.54%,12.96%,9.14%,1.80,1.74M,2.33,7.13,-6.31%,"1,253,514"
92,BITF,26.73%,20.30%,-48.73%,-32.38%,-25.10%,-20.20%,13.47%,10.52%,-,7.28M,1.64,4.10,1.74%,"3,690,867"
93,BJDX,4.33%,-36.47%,-70.33%,-,-,-61.29%,12.77%,11.20%,-,1.88M,0.05,1.03,3.92%,"29,846"
94,BKD,2.91%,28.00%,6.67%,-1.75%,17.48%,30.23%,4.67%,5.86%,2.70,2.71M,0.55,6.74,0.30%,"462,444"
95,BKKT,3.55%,53.46%,-63.84%,-44.60%,-63.12%,-34.90%,19.04%,19.13%,3.00,11.07M,0.79,5.45,-1.62%,"2,690,212"
96,BLDE,0.00%,27.69%,-15.91%,-16.20%,-49.76%,-18.01%,7.87%,7.34%,1.60,1.04M,0.44,7.22,-0.28%,"142,933"
97,BLI,13.66%,-13.68%,-62.36%,-79.43%,-87.76%,-58.36%,9.26%,9.13%,2.10,1.70M,0.49,7.39,-2.38%,"254,606"
98,BLNK,7.76%,28.69%,-36.69%,-22.18%,-35.98%,-8.30%,8.80%,7.96%,2.40,1.78M,0.44,24.44,0.53%,"241,358"
99,BLU,0.78%,11.63%,9.17%,75.20%,65.30%,-20.12%,9.11%,6.28%,1.70,3.34M,0.07,6.34,-1.40%,"69,759"
100,BLUE,-8.02%,-25.37%,-45.60%,-51.36%,-71.81%,-43.74%,7.76%,6.38%,3.00,2.34M,0.94,5.70,1.33%,"680,786"
101,BNGO,9.64%,11.34%,-45.04%,-62.30%,-77.22%,-27.76%,11.94%,9.33%,1.20,8.47M,2.15,2.09,-3.47%,"5,611,470"
102,BODY,-2.51%,18.29%,-25.95%,-73.53%,-83.95%,-18.14%,11.36%,9.35%,3.00,1.49M,2.08,2.24,15.47%,"950,680"
103,BOXL,-5.79%,10.68%,-30.49%,-56.32%,-58.70%,-17.39%,7.72%,7.38%,2.00,1.06M,0.55,1.13,-0.99%,"181,228"
104,BRMK,-3.57%,-8.91%,-9.60%,-20.34%,-18.40%,-11.13%,3.76%,2.38%,2.50,1.14M,0.94,8.30,-1.00%,"331,960"
105,BRQS,0.50%,-7.29%,-42.86%,-61.15%,-81.37%,-19.44%,12.86%,8.34%,-,2.00M,0.43,0.31,1.80%,"266,560"
106,BSFC,5.29%,-25.10%,-40.33%,-69.92%,-,9.82%,12.22%,11.07%,-,1.53M,0.10,1.74,-2.91%,"46,760"
107,BSIG,-4.74%,11.00%,-24.11%,-15.23%,21.51%,-9.77%,4.08%,3.69%,2.70,1.29M,0.28,24.09,4.29%,"111,204"
108,BTB,0.17%,1.58%,-58.77%,-65.43%,-91.58%,-37.26%,12.52%,11.51%,-,1.44M,0.41,0.37,1.67%,"181,604"
109,BTBT,5.42%,7.46%,-60.43%,-69.63%,-75.13%,-36.02%,12.33%,11.01%,2.00,3.59M,1.46,3.76,-3.34%,"1,621,554"
110,BTCS,-4.12%,-16.53%,-38.56%,-46.66%,-57.24%,33.44%,11.89%,9.03%,-,2.68M,0.10,4.21,0.48%,"80,565"
111,BVXV,9.24%,-0.76%,-28.82%,-47.58%,-69.77%,-44.68%,10.73%,7.69%,-,3.48M,0.01,1.29,-0.77%,"13,522"
112,BYSI,-9.69%,-22.59%,-82.09%,-91.55%,-82.12%,-48.57%,9.56%,7.42%,2.70,1.28M,0.24,2.40,3.00%,"93,634"
113,BZUN,-1.10%,-7.47%,-27.43%,-50.96%,-77.29%,-22.52%,8.19%,6.81%,2.30,1.03M,0.80,10.84,0.65%,"253,339"
114,CALA,-1.20%,12.55%,-43.97%,-80.08%,-83.68%,-29.34%,10.40%,12.27%,2.50,1.61M,0.06,0.49,3.38%,"28,538"
115,CAN,5.77%,41.49%,-39.55%,-43.64%,-75.07%,3.30%,11.32%,9.19%,-,3.64M,0.97,5.34,0.35%,"1,084,140"
116,CANF,6.31%,2.61%,0.00%,-36.22%,-41.29%,-8.53%,8.65%,5.67%,2.00,4.05M,0.05,1.15,-2.40%,"68,543"
117,CBAT,10.43%,12.39%,-36.82%,-60.31%,-77.95%,-18.59%,9.28%,8.21%,-,1.21M,0.46,1.28,0.79%,"172,734"
118,CCO,1.07%,26.09%,20.45%,47.84%,104.89%,13.90%,10.12%,6.62%,2.60,2.59M,1.33,3.90,3.58%,"1,066,857"
119,CCXI,-1.24%,16.63%,-20.16%,90.93%,-56.93%,-19.09%,7.40%,6.07%,1.60,1.30M,6.98,22.81,-22.59%,"2,804,284"
120,CDE,8.79%,2.46%,-19.22%,-33.53%,-48.13%,-9.13%,6.79%,5.92%,2.30,5.56M,1.50,4.34,-5.13%,"2,561,473"
121,CEI,40.07%,13.72%,-49.82%,16.94%,-54.48%,-25.02%,27.25%,11.68%,-,28.30M,2.11,0.64,-0.28%,"18,444,438"
122,CELZ,-9.95%,-18.10%,-63.79%,-87.93%,-90.70%,-22.17%,11.75%,11.54%,-,3.01M,0.02,1.77,2.79%,"18,512"
123,CENN,3.17%,-17.72%,-86.42%,-88.05%,-91.59%,-75.75%,16.70%,11.65%,-,6.89M,0.70,1.32,1.15%,"1,494,419"
124,CERS,9.71%,14.51%,-16.88%,-9.58%,-10.84%,-15.42%,7.38%,5.47%,1.40,1.71M,0.66,5.88,2.08%,"346,450"
125,CFMS,12.21%,16.75%,-25.27%,-59.13%,-44.71%,-13.58%,9.36%,9.71%,1.30,1.29M,0.20,0.67,1.41%,"79,991"
126,CFVI,-9.59%,3.48%,21.72%,22.73%,-,9.70%,6.75%,11.26%,-,9.60M,0.32,12.25,3.11%,"961,241"
127,CGEN,12.81%,-5.65%,-29.08%,-53.11%,-66.31%,-26.28%,8.04%,7.04%,-,1.06M,0.94,3.21,1.26%,"308,767"
128,CHEK,-34.50%,-15.87%,-53.31%,-63.83%,-73.13%,-42.64%,8.88%,9.39%,2.50,1.22M,5.09,0.40,3.90%,"1,915,552"
129,CHS,7.00%,7.97%,-14.59%,-18.84%,78.87%,-11.90%,8.30%,6.54%,3.00,1.89M,1.91,4.99,5.27%,"1,114,625"
130,CIDM,-5.49%,-2.35%,-50.56%,-60.29%,-43.44%,-35.64%,12.24%,11.12%,2.00,3.65M,0.56,0.78,4.26%,"627,736"
131,CKPT,-4.37%,-28.86%,-45.14%,-44.62%,-47.60%,-43.73%,7.86%,6.66%,1.80,1.49M,0.52,1.76,0.57%,"241,123"
132,CLM,3.04%,-0.29%,-0.79%,8.44%,5.63%,-2.87%,2.82%,1.88%,-,1.50M,1.49,14.10,1.60%,"688,694"
133,CLNE,24.25%,30.58%,2.62%,-5.23%,-43.84%,21.21%,9.08%,6.04%,2.70,3.83M,1.19,7.41,-0.20%,"1,401,222"
134,CLOV,32.84%,17.32%,-46.65%,-68.04%,-70.02%,-27.15%,11.24%,9.43%,3.60,14.52M,0.86,2.67,-1.48%,"3,825,928"
135,CLSK,22.06%,76.24%,-39.90%,-21.70%,-63.42%,12.18%,15.81%,13.40%,1.50,2.49M,1.00,10.65,-0.28%,"770,767"
136,CLVS,15.38%,1.04%,-36.89%,-59.63%,-65.91%,-28.04%,12.77%,9.25%,3.20,4.36M,0.84,1.88,-3.85%,"1,127,296"
137,CNDT,-4.67%,-2.81%,-14.31%,-36.13%,-26.39%,-15.92%,6.21%,5.70%,3.00,2.07M,0.71,4.60,2.45%,"450,810"
138,CNSP,-2.27%,-43.08%,-70.08%,-79.99%,-87.88%,-52.72%,26.29%,14.72%,2.00,1.08M,2.50,0.33,-0.33%,"827,552"
139,CNTX,2.67%,-1.03%,-65.59%,-,-,-27.82%,8.37%,7.38%,-,2.22M,0.04,1.92,0.01%,"24,156"
140,COMM,-13.89%,-4.82%,-16.46%,-45.31%,-41.55%,-21.38%,7.25%,6.07%,2.60,4.06M,0.88,9.13,5.18%,"1,099,944"
141,CPIX,2.30%,-6.59%,41.82%,10.64%,-8.24%,-33.19%,6.00%,5.82%,3.00,1.31M,0.01,3.14,0.64%,"4,889"
142,CPLG,0.00%,1.53%,3.17%,13.11%,81.98%,1.66%,0.24%,0.31%,2.00,1.43M,1.32,15.98,0.09%,"582,144"
143,CPOP,2.16%,5.19%,-33.95%,-64.05%,-,-60.88%,11.64%,9.12%,-,4.72M,0.07,1.37,-3.52%,"107,519"
144,CPRX,4.70%,40.61%,11.93%,41.89%,96.72%,15.07%,5.14%,5.66%,2.00,1.15M,0.70,8.23,5.65%,"248,327"
145,CRBP,-0.37%,-23.81%,-62.42%,-73.11%,-86.27%,-48.03%,7.96%,9.20%,2.70,1.18M,0.64,0.35,9.00%,"231,719"
146,CREX,0.00%,-22.63%,-39.43%,-24.82%,-60.59%,-24.29%,10.48%,9.75%,2.00,1.12M,0.20,1.03,-2.74%,"68,222"
147,CRIS,6.60%,9.71%,-29.96%,-60.21%,-66.54%,-28.78%,9.75%,7.41%,2.00,1.77M,0.35,3.36,-1.03%,"189,937"
148,CRON,2.37%,1.17%,-22.65%,-46.18%,-67.51%,-11.99%,6.12%,6.08%,3.90,2.37M,1.03,3.43,-0.58%,"752,616"
149,CRTX,0.00%,-26.25%,-64.52%,-95.76%,-87.89%,-65.06%,9.69%,9.11%,2.90,1.13M,0.24,4.58,3.85%,"84,175"
150,CSCW,-0.43%,-47.10%,-59.97%,-75.05%,-73.89%,-54.23%,12.56%,15.58%,-,3.27M,20.26,0.24,4.09%,"20,406,027"
151,CSIQ,23.57%,29.83%,-16.10%,-12.31%,-31.64%,4.73%,6.86%,5.27%,2.60,1.03M,1.34,30.42,-7.19%,"424,830"
152,CTIC,30.80%,56.57%,16.54%,4.73%,-4.02%,25.00%,15.96%,8.24%,1.70,3.50M,12.48,2.99,-3.54%,"13,453,721"
153,CTK,12.90%,1.68%,-59.46%,-80.47%,-91.50%,-47.86%,25.93%,15.42%,3.00,2.02M,37.30,0.28,-11.60%,"23,238,105"
154,CTMX,-13.66%,-19.55%,-45.71%,-30.18%,-57.55%,-18.24%,6.18%,5.96%,1.90,1.18M,1.05,4.18,18.08%,"384,787"
155,CTRM,0.62%,42.11%,-16.06%,-27.35%,-82.58%,14.08%,9.19%,9.46%,-,2.24M,0.89,1.61,-0.67%,"613,412"
156,CTXR,-7.93%,7.09%,-6.79%,-33.48%,-25.25%,-1.95%,6.92%,6.93%,2.00,1.51M,0.41,1.53,1.66%,"190,660"
157,CYBN,-5.80%,-8.95%,-36.20%,-65.65%,-25.27%,-21.85%,5.97%,7.04%,1.50,1.06M,0.55,0.93,-1.34%,"179,946"
158,CYH,3.35%,-21.81%,-19.14%,-17.84%,21.33%,-23.52%,6.25%,7.35%,2.50,1.33M,0.76,10.77,5.80%,"309,441"
159,CYRN,183.41%,40.17%,-17.01%,-41.05%,-67.02%,11.05%,68.13%,25.60%,2.00,1.64M,20.50,6.25,-3.70%,"10,362,085"
160,DADA,-12.17%,-12.93%,-62.50%,-64.71%,-77.85%,-39.13%,12.34%,9.30%,1.60,1.14M,1.50,8.14,1.62%,"525,039"
161,DARE,-0.66%,1.35%,-14.29%,-13.79%,-20.63%,-25.00%,6.94%,5.67%,2.00,5.80M,0.22,1.49,-0.67%,"391,227"
162,DATS,4.57%,-6.36%,-50.24%,-72.05%,-,-32.01%,10.73%,9.70%,-,3.77M,0.15,2.03,-1.45%,"179,904"
163,DBI,-4.01%,-4.61%,-16.78%,-22.83%,-8.89%,-14.14%,7.18%,5.63%,2.80,1.35M,0.71,13.11,7.46%,"296,814"
164,DCFC,9.24%,8.20%,-22.20%,-19.59%,-,-20.56%,9.92%,17.56%,2.00,3.46M,0.90,8.03,1.39%,"961,136"
165,DCPH,1.55%,1.16%,2.21%,-74.84%,-82.24%,-19.45%,7.69%,7.52%,2.60,1.72M,0.38,8.12,3.18%,"200,205"
166,DHC,-11.94%,-5.54%,-3.53%,-27.20%,-38.93%,-11.65%,6.99%,4.68%,3.20,1.73M,0.70,2.82,3.11%,"371,490"
167,DHT,10.99%,27.24%,13.82%,15.71%,9.06%,20.62%,5.20%,4.18%,1.80,2.00M,1.15,6.09,-2.72%,"712,419"
168,DK,-3.56%,9.92%,10.85%,0.83%,-25.44%,13.81%,7.24%,5.61%,3.10,1.10M,0.64,17.18,0.70%,"219,260"
169,DM,8.20%,9.07%,-37.08%,-49.69%,-79.36%,-17.37%,8.85%,8.44%,2.70,5.87M,0.96,4.05,-1.10%,"1,739,279"
170,DNMR,38.26%,3.70%,-66.24%,-75.63%,-87.50%,-44.01%,13.93%,11.29%,1.70,4.04M,1.65,4.47,-6.18%,"2,057,530"
171,DNN,22.58%,33.33%,-7.88%,28.81%,23.58%,10.95%,8.86%,7.19%,2.20,9.18M,1.35,1.55,1.97%,"3,821,383"
172,DOGZ,28.06%,-3.57%,-31.93%,34.44%,63.64%,-61.47%,12.31%,10.21%,-,2.22M,0.73,3.31,2.16%,"500,937"
173,DOMA,7.08%,-32.01%,-58.41%,-70.05%,-74.22%,-49.41%,10.75%,8.49%,1.70,1.27M,0.38,2.67,3.89%,"148,908"
174,DOYU,-0.94%,2.94%,-22.79%,-45.17%,-86.16%,-20.45%,7.26%,7.12%,3.00,3.47M,1.25,2.02,-4.05%,"1,334,154"
175,DRH,-3.56%,3.25%,0.55%,3.36%,-1.91%,-4.06%,5.35%,4.16%,2.60,2.14M,0.84,9.55,3.58%,"553,108"
